"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"79","Pratt",-60.05,"Coats NE",2008-10-10,374332098461103,151,27,c(-98.771543, 37.726301),"2008","71-0",-98.771543,37.726301,173.4464417,"132-197"
"80","Sedgwick",-24.99,"COLWICH",2008-01-14,374738097332202,173,26,c(-97.554982, 37.793876),"2008","71-0",-97.554982,37.793876,174.1762085,"132-197"
"81","Sedgwick",-24.42,"COLWICH",2008-04-09,374738097332202,173,26,c(-97.554982, 37.793876),"2008","71-0",-97.554982,37.793876,174.1762085,"132-197"
"82","Sedgwick",-24.31,"COLWICH",2008-07-18,374738097332202,173,26,c(-97.554982, 37.793876),"2008","71-0",-97.554982,37.793876,174.1762085,"132-197"
"83","Sedgwick",-24.88,"COLWICH",2008-10-10,374738097332202,173,26,c(-97.554982, 37.793876),"2008","71-0",-97.554982,37.793876,174.1762085,"132-197"
"84","Graham",-79.42,"Studley",2008-01-15,391904100082501,65,9,c(-100.14132, 39.30295),"2008","143-72",-100.14132,39.30295,4.763465881,"0-65"
"85","Edwards",-50.02,"GREENSBURG NW",2008-01-14,374427099232901,47,26,c(-99.390994, 37.744917),"2008","71-0",-99.390994,37.744917,131.097702,"66-131"
"86","Kingman",-1.89,"KINGMAN NW",2008-01-17,374123098092701,95,27,c(-98.158527, 37.690176),"2008","71-0",-98.158527,37.690176,34.11995697,"0-65"
"87","Sedgwick",-15.09,"COLWICH",2008-01-14,374829097310802,173,26,c(-97.519017, 37.808708),"2008","71-0",-97.519017,37.808708,206.8209534,"198-262"
"88","Sedgwick",-14.78,"COLWICH",2008-04-09,374829097310802,173,26,c(-97.519017, 37.808708),"2008","71-0",-97.519017,37.808708,206.8209534,"198-262"
"89","Sedgwick",-14.26,"COLWICH",2008-07-18,374829097310802,173,26,c(-97.519017, 37.808708),"2008","71-0",-97.519017,37.808708,206.8209534,"198-262"
"90","Sedgwick",-13.73,"COLWICH",2008-10-10,374829097310802,173,26,c(-97.519017, 37.808708),"2008","71-0",-97.519017,37.808708,206.8209534,"198-262"
"91","Reno",-26.17,"TTuron",2008-01-03,374637098272501,155,26,c(-98.460031, 37.776441),"2008","71-0",-98.460031,37.776441,111.0355072,"66-131"
"92","Sedgwick",-26.75,"COLWICH",2008-01-14,374832097330402,173,26,c(-97.551392, 37.808529),"2008","71-0",-97.551392,37.808529,214.6600037,"198-262"
"93","Sedgwick",-26.29,"COLWICH",2008-04-09,374832097330402,173,26,c(-97.551392, 37.808529),"2008","71-0",-97.551392,37.808529,214.6600037,"198-262"
"94","Sedgwick",-26.25,"COLWICH",2008-07-18,374832097330402,173,26,c(-97.551392, 37.808529),"2008","71-0",-97.551392,37.808529,214.6600037,"198-262"
"95","Sedgwick",-26.24,"COLWICH",2008-10-10,374832097330402,173,26,c(-97.551392, 37.808529),"2008","71-0",-97.551392,37.808529,214.6600037,"198-262"
"96","Pratt",-23.89,"Byers",2008-01-04,374631098472501,151,26,c(-98.789552, 37.773477),"2008","71-0",-98.789552,37.773477,130.3479614,"66-131"
"97","Sedgwick",-17.03,"Colwich",2008-12-08,374811097310301,173,26,c(-97.518721, 37.801457),"2008","71-0",-97.518721,37.801457,195.7327881,"132-197"
"98","Kiowa",-26.43,"Greensburg NE",2008-01-17,374117099193001,97,27,c(-99.327225, 37.689574),"2008","71-0",-99.327225,37.689574,118.9040146,"66-131"
"99","Kiowa",-26.54,"Greensburg NE",2008-04-16,374117099193001,97,27,c(-99.327225, 37.689574),"2008","71-0",-99.327225,37.689574,118.9040146,"66-131"
"100","Kiowa",-26.55,"Greensburg NE",2008-10-30,374117099193001,97,27,c(-99.327225, 37.689574),"2008","71-0",-99.327225,37.689574,118.9040146,"66-131"
"101","Sedgwick",-7.83,"PATTERSON",2008-01-14,375407097405901,173,25,c(-97.683752, 37.903555),"2008","71-0",-97.683752,37.903555,195.008606,"132-197"
"102","Sedgwick",-7.61,"PATTERSON",2008-04-09,375407097405901,173,25,c(-97.683752, 37.903555),"2008","71-0",-97.683752,37.903555,195.008606,"132-197"
"103","Sedgwick",-7.75,"PATTERSON",2008-07-16,375407097405901,173,25,c(-97.683752, 37.903555),"2008","71-0",-97.683752,37.903555,195.008606,"132-197"
"104","Sedgwick",-8.1,"PATTERSON",2008-10-10,375407097405901,173,25,c(-97.683752, 37.903555),"2008","71-0",-97.683752,37.903555,195.008606,"132-197"
"105","Reno",-11.71,"Partridge",2008-01-02,375625098051701,155,24,c(-98.087303, 37.941163),"2008","71-0",-98.087303,37.941163,51.95451736,"0-65"
"106","Harvey",-23.71,NA,2008-01-02,375633097355003,79,24,c(-97.599861, 37.941528),"2008","71-0",-97.599861,37.941528,184.8429565,"132-197"
"107","Harvey",-21.21,NA,2008-07-02,375633097355003,79,24,c(-97.599861, 37.941528),"2008","71-0",-97.599861,37.941528,184.8429565,"132-197"
"108","Harvey",-24.04,NA,2008-10-01,375633097355003,79,24,c(-97.599861, 37.941528),"2008","71-0",-97.599861,37.941528,184.8429565,"132-197"
"109","Harvey",-35.96,NA,2008-01-02,375633097364003,79,24,c(-97.610694, 37.941528),"2008","71-0",-97.610694,37.941528,166.6586304,"132-197"
"110","Harvey",-31.55,NA,2008-07-02,375633097364003,79,24,c(-97.610694, 37.941528),"2008","71-0",-97.610694,37.941528,166.6586304,"132-197"
"111","Harvey",-37.78,NA,2008-10-01,375633097364003,79,24,c(-97.610694, 37.941528),"2008","71-0",-97.610694,37.941528,166.6586304,"132-197"
"112","Sedgwick",-14.72,NA,2008-01-16,375316097305501,173,25,c(-97.517639, 37.887917),"2008","71-0",-97.517639,37.887917,191.7724915,"132-197"
"113","Sedgwick",-14.93,NA,2008-04-02,375316097305501,173,25,c(-97.517639, 37.887917),"2008","71-0",-97.517639,37.887917,191.7724915,"132-197"
"114","Sedgwick",-12.78,NA,2008-07-17,375316097305501,173,25,c(-97.517639, 37.887917),"2008","71-0",-97.517639,37.887917,191.7724915,"132-197"
"115","Sedgwick",-14.88,NA,2008-10-23,375316097305501,173,25,c(-97.517639, 37.887917),"2008","71-0",-97.517639,37.887917,191.7724915,"132-197"
"116","Edwards",-7.37,"Kinsley",2008-01-07,375421099254401,47,25,c(-99.430595, 37.906017),"2008","71-0",-99.430595,37.906017,62.93178558,"0-65"
"117","Edwards",-7.55,"Kinsley",2008-04-01,375421099254401,47,25,c(-99.430595, 37.906017),"2008","71-0",-99.430595,37.906017,62.93178558,"0-65"
"118","Edwards",-6.89,"Kinsley",2008-11-04,375421099254401,47,25,c(-99.430595, 37.906017),"2008","71-0",-99.430595,37.906017,62.93178558,"0-65"
"119","Hamilton",-48.16,"Syracuse East",2008-01-29,375416101394401,75,25,c(-101.659449, 37.909244),"2008","71-0",-101.659449,37.909244,10,"0-65"
"120","Harvey",-12.95,NA,2008-01-15,375718097373801,79,24,c(-97.629028, 37.955833),"2008","71-0",-97.629028,37.955833,138.6068115,"132-197"
"121","Harvey",-12.8,NA,2008-04-02,375718097373801,79,24,c(-97.629028, 37.955833),"2008","71-0",-97.629028,37.955833,138.6068115,"132-197"
"122","Harvey",-11.95,NA,2008-07-11,375718097373801,79,24,c(-97.629028, 37.955833),"2008","71-0",-97.629028,37.955833,138.6068115,"132-197"
"123","Harvey",-11.07,NA,2008-10-21,375718097373801,79,24,c(-97.629028, 37.955833),"2008","71-0",-97.629028,37.955833,138.6068115,"132-197"
"124","Reno",-3.25,"HAVEN",2008-01-15,375603097463103,155,24,c(-97.775485, 37.934119),"2008","71-0",-97.775485,37.934119,207.0226746,"198-262"
"125","Reno",-3.04,"HAVEN",2008-04-08,375603097463103,155,24,c(-97.775485, 37.934119),"2008","71-0",-97.775485,37.934119,207.0226746,"198-262"
"126","Reno",-2.73,"HAVEN",2008-07-16,375603097463103,155,24,c(-97.775485, 37.934119),"2008","71-0",-97.775485,37.934119,207.0226746,"198-262"
"127","Reno",-3.3,"HAVEN",2008-10-10,375603097463103,155,24,c(-97.775485, 37.934119),"2008","71-0",-97.775485,37.934119,207.0226746,"198-262"
"128","Kearny",-42.9,"Deerfield NE",2008-01-24,375718101071301,93,24,c(-101.121146, 37.955702),"2008","71-0",-101.121146,37.955702,283.2229614,"263-328"
"129","Reno",-37.2,"ELMER",2008-01-15,375721097541201,155,24,c(-97.903485, 37.956108),"2008","71-0",-97.903485,37.956108,49.3621521,"0-65"
"130","Reno",-36.45,"ELMER",2008-04-09,375721097541201,155,24,c(-97.903485, 37.956108),"2008","71-0",-97.903485,37.956108,49.3621521,"0-65"
"131","Reno",-37.15,"ELMER",2008-07-16,375721097541201,155,24,c(-97.903485, 37.956108),"2008","71-0",-97.903485,37.956108,49.3621521,"0-65"
"132","Reno",-38.51,"ELMER",2008-10-09,375721097541201,155,24,c(-97.903485, 37.956108),"2008","71-0",-97.903485,37.956108,49.3621521,"0-65"
"133","Ford",-118.15,"Ensign",2008-01-03,374403100110601,57,26,c(-100.188118, 37.737151),"2008","143-72",-100.188118,37.737151,114.3266754,"66-131"
"134","Kearny",-275.49,"HICKOK NE",2008-01-09,374423101053601,93,26,c(-101.094233, 37.7402),"2008","287-216",-101.094233,37.7402,192.8002319,"132-197"
"135","Kingman",-3.19,"WATERLOO",2008-01-16,374139097591601,95,27,c(-97.988884, 37.693547),"2008","71-0",-97.988884,37.693547,NA,NA
"136","Kingman",-3.07,"WATERLOO",2008-03-24,374139097591601,95,27,c(-97.988884, 37.693547),"2008","71-0",-97.988884,37.693547,NA,NA
"137","Kingman",-3.71,"WATERLOO",2008-06-16,374139097591601,95,27,c(-97.988884, 37.693547),"2008","71-0",-97.988884,37.693547,NA,NA
"138","Kingman",-1.7,"WATERLOO",2008-09-17,374139097591601,95,27,c(-97.988884, 37.693547),"2008","71-0",-97.988884,37.693547,NA,NA
"139","Reno",-22.14,"Cunningham",2008-01-03,374401098274803,155,26,c(-98.464845, 37.733556),"2008","71-0",-98.464845,37.733556,118.9337311,"66-131"
"140","Reno",-22.22,"Cunningham",2008-04-08,374401098274803,155,26,c(-98.464845, 37.733556),"2008","71-0",-98.464845,37.733556,118.9337311,"66-131"
"141","Reno",-22.27,"Cunningham",2008-07-07,374401098274803,155,26,c(-98.464845, 37.733556),"2008","71-0",-98.464845,37.733556,118.9337311,"66-131"
"142","Reno",-23.51,"Cunningham",2008-10-10,374401098274803,155,26,c(-98.464845, 37.733556),"2008","71-0",-98.464845,37.733556,118.9337311,"66-131"
"143","Hamilton",-141.07,"SYRACUSE WEST SE",2008-01-06,374421101490901,75,26,c(-101.820852, 37.741443),"2008","143-72",-101.820852,37.741443,49.0413208,"0-65"
"144","Reno",-8.14,"Langdon",2008-01-03,374932098151702,155,25,c(-98.255877, 37.825063),"2008","71-0",-98.255877,37.825063,48.69443893,"0-65"
"145","Reno",-8.33,"Langdon",2008-04-08,374932098151702,155,25,c(-98.255877, 37.825063),"2008","71-0",-98.255877,37.825063,48.69443893,"0-65"
"146","Reno",-8.67,"Langdon",2008-07-07,374932098151702,155,25,c(-98.255877, 37.825063),"2008","71-0",-98.255877,37.825063,48.69443893,"0-65"
"147","Reno",-8.76,"Langdon",2008-10-10,374932098151702,155,25,c(-98.255877, 37.825063),"2008","71-0",-98.255877,37.825063,48.69443893,"0-65"
"148","Sedgwick",-19.95,"MOUNT HOPE",2008-01-14,375216097392001,173,25,c(-97.656153, 37.870941),"2008","71-0",-97.656153,37.870941,99.02536011,"66-131"
"149","Sedgwick",-19.1,"MOUNT HOPE",2008-04-16,375216097392001,173,25,c(-97.656153, 37.870941),"2008","71-0",-97.656153,37.870941,99.02536011,"66-131"
"150","Sedgwick",-19.44,"MOUNT HOPE",2008-07-16,375216097392001,173,25,c(-97.656153, 37.870941),"2008","71-0",-97.656153,37.870941,99.02536011,"66-131"
"151","Sedgwick",-20.15,"MOUNT HOPE",2008-10-10,375216097392001,173,25,c(-97.656153, 37.870941),"2008","71-0",-97.656153,37.870941,99.02536011,"66-131"
"152","Sedgwick",-19.9,"MOUNT HOPE",2008-01-14,375216097392002,173,25,c(-97.656154, 37.870946),"2008","71-0",-97.656154,37.870946,99.02536011,"66-131"
"153","Sedgwick",-19.05,"MOUNT HOPE",2008-04-16,375216097392002,173,25,c(-97.656154, 37.870946),"2008","71-0",-97.656154,37.870946,99.02536011,"66-131"
"154","Sedgwick",-19.36,"MOUNT HOPE",2008-07-16,375216097392002,173,25,c(-97.656154, 37.870946),"2008","71-0",-97.656154,37.870946,99.02536011,"66-131"
"155","Sedgwick",-20.05,"MOUNT HOPE",2008-10-10,375216097392002,173,25,c(-97.656154, 37.870946),"2008","71-0",-97.656154,37.870946,99.02536011,"66-131"
"156","Sedgwick",-20.01,"MOUNT HOPE",2008-01-14,375216097392003,173,25,c(-97.656173, 37.870937),"2008","71-0",-97.656173,37.870937,99.02536011,"66-131"
"157","Sedgwick",-18.9,"MOUNT HOPE",2008-04-16,375216097392003,173,25,c(-97.656173, 37.870937),"2008","71-0",-97.656173,37.870937,99.02536011,"66-131"
"158","Sedgwick",-19.17,"MOUNT HOPE",2008-07-16,375216097392003,173,25,c(-97.656173, 37.870937),"2008","71-0",-97.656173,37.870937,99.02536011,"66-131"
"159","Sedgwick",-19.95,"MOUNT HOPE",2008-10-10,375216097392003,173,25,c(-97.656173, 37.870937),"2008","71-0",-97.656173,37.870937,99.02536011,"66-131"
"160","Edwards",-31.25,"Fellsburg",2008-01-02,375217099074101,47,25,c(-99.12788, 37.8724),"2008","71-0",-99.12788,37.8724,142.4476013,"132-197"
"161","Edwards",-31.35,"Fellsburg",2008-04-14,375217099074101,47,25,c(-99.12788, 37.8724),"2008","71-0",-99.12788,37.8724,142.4476013,"132-197"
"162","Edwards",-31.61,"Fellsburg",2008-11-17,375217099074101,47,25,c(-99.12788, 37.8724),"2008","71-0",-99.12788,37.8724,142.4476013,"132-197"
"163","Stafford",-10.23,"Hopewell",2008-01-03,375059098595801,185,25,c(-98.999963, 37.850616),"2008","71-0",-98.999963,37.850616,177.8093567,"132-197"
"164","Stafford",-10.34,"Hopewell",2008-04-14,375059098595801,185,25,c(-98.999963, 37.850616),"2008","71-0",-98.999963,37.850616,177.8093567,"132-197"
"165","Stafford",-10.16,"Hopewell",2008-11-17,375059098595801,185,25,c(-98.999963, 37.850616),"2008","71-0",-98.999963,37.850616,177.8093567,"132-197"
"166","Sedgwick",-16.96,NA,2008-01-02,375210097273703,173,25,c(-97.463056, 37.86875),"2008","71-0",-97.463056,37.86875,151.2447662,"132-197"
"167","Sedgwick",-15.44,NA,2008-07-02,375210097273703,173,25,c(-97.463056, 37.86875),"2008","71-0",-97.463056,37.86875,151.2447662,"132-197"
"168","Sedgwick",-15.4,NA,2008-10-01,375210097273703,173,25,c(-97.463056, 37.86875),"2008","71-0",-97.463056,37.86875,151.2447662,"132-197"
